D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,50,2,1.000000e+00,1000,10000,100

dtau,dtau2,deltaH
2.272727e-02,5.165289e-04,5.814794e-03
2.272727e-02,5.165289e-04,4.817451e-03
2.272727e-02,5.165289e-04,5.196401e-03
2.272727e-02,5.165289e-04,5.086030e-03
2.272727e-02,5.165289e-04,5.341561e-03
2.272727e-02,5.165289e-04,6.023217e-03
2.272727e-02,5.165289e-04,5.127161e-03
2.272727e-02,5.165289e-04,7.215379e-03
2.272727e-02,5.165289e-04,5.738538e-03
2.272727e-02,5.165289e-04,5.503071e-03
2.272727e-02,5.165289e-04,5.174806e-03
2.272727e-02,5.165289e-04,4.905057e-03
2.272727e-02,5.165289e-04,6.080357e-03
2.272727e-02,5.165289e-04,5.249555e-03
2.272727e-02,5.165289e-04,5.028531e-03
2.272727e-02,5.165289e-04,5.196051e-03
2.272727e-02,5.165289e-04,6.064323e-03
2.272727e-02,5.165289e-04,6.263968e-03
2.272727e-02,5.165289e-04,5.522782e-03
2.272727e-02,5.165289e-04,5.196003e-03
2.272727e-02,5.165289e-04,5.618471e-03
2.272727e-02,5.165289e-04,5.256487e-03
2.272727e-02,5.165289e-04,5.427166e-03
2.272727e-02,5.165289e-04,5.761749e-03
2.272727e-02,5.165289e-04,5.462443e-03
2.272727e-02,5.165289e-04,5.942104e-03
2.272727e-02,5.165289e-04,5.268004e-03
2.272727e-02,5.165289e-04,6.269247e-03
2.272727e-02,5.165289e-04,4.887669e-03
2.272727e-02,5.165289e-04,5.892759e-03
2.272727e-02,5.165289e-04,5.599323e-03
2.272727e-02,5.165289e-04,6.085776e-03
2.272727e-02,5.165289e-04,5.863135e-03
2.272727e-02,5.165289e-04,5.403626e-03
2.272727e-02,5.165289e-04,6.076932e-03
2.272727e-02,5.165289e-04,5.677344e-03
2.272727e-02,5.165289e-04,6.013916e-03
2.272727e-02,5.165289e-04,5.166233e-03
2.272727e-02,5.165289e-04,5.501030e-03
2.272727e-02,5.165289e-04,5.405767e-03
2.272727e-02,5.165289e-04,5.751095e-03
2.272727e-02,5.165289e-04,5.745309e-03
2.272727e-02,5.165289e-04,5.398102e-03
2.272727e-02,5.165289e-04,5.938433e-03
2.272727e-02,5.165289e-04,5.736350e-03
2.272727e-02,5.165289e-04,6.699943e-03
2.272727e-02,5.165289e-04,6.008594e-03
2.272727e-02,5.165289e-04,5.110954e-03
2.272727e-02,5.165289e-04,5.041846e-03
2.272727e-02,5.165289e-04,5.978422e-03
2.272727e-02,5.165289e-04,5.581150e-03
2.272727e-02,5.165289e-04,6.345919e-03
2.272727e-02,5.165289e-04,4.618384e-03
2.272727e-02,5.165289e-04,5.188384e-03
2.272727e-02,5.165289e-04,5.057606e-03
2.272727e-02,5.165289e-04,6.644770e-03
2.272727e-02,5.165289e-04,4.908392e-03
2.272727e-02,5.165289e-04,6.327828e-03
2.272727e-02,5.165289e-04,6.206150e-03
2.272727e-02,5.165289e-04,5.648652e-03
2.272727e-02,5.165289e-04,5.974777e-03
2.380952e-02,5.668934e-04,5.676464e-03
2.380952e-02,5.668934e-04,5.956878e-03
2.380952e-02,5.668934e-04,5.112786e-03
2.380952e-02,5.668934e-04,6.067316e-03
2.380952e-02,5.668934e-04,6.452562e-03
2.380952e-02,5.668934e-04,6.222305e-03
2.380952e-02,5.668934e-04,5.987133e-03
2.380952e-02,5.668934e-04,5.802239e-03
2.380952e-02,5.668934e-04,5.638062e-03
2.380952e-02,5.668934e-04,4.923741e-03
2.380952e-02,5.668934e-04,5.434089e-03
2.380952e-02,5.668934e-04,5.966235e-03
2.380952e-02,5.668934e-04,5.492933e-03
2.380952e-02,5.668934e-04,5.812505e-03
2.380952e-02,5.668934e-04,5.733579e-03
2.380952e-02,5.668934e-04,7.025036e-03
2.380952e-02,5.668934e-04,5.413948e-03
2.380952e-02,5.668934e-04,5.711425e-03
2.380952e-02,5.668934e-04,5.551535e-03
2.380952e-02,5.668934e-04,5.515060e-03
2.380952e-02,5.668934e-04,5.549128e-03
2.380952e-02,5.668934e-04,6.055302e-03
2.380952e-02,5.668934e-04,5.367882e-03
2.380952e-02,5.668934e-04,7.106975e-03
2.380952e-02,5.668934e-04,5.901731e-03
2.380952e-02,5.668934e-04,6.190026e-03
2.380952e-02,5.668934e-04,6.479775e-03
2.380952e-02,5.668934e-04,5.583132e-03
2.380952e-02,5.668934e-04,5.260092e-03
2.380952e-02,5.668934e-04,6.171959e-03
2.380952e-02,5.668934e-04,5.892893e-03
2.380952e-02,5.668934e-04,6.052583e-03
2.380952e-02,5.668934e-04,6.497572e-03
2.380952e-02,5.668934e-04,6.078001e-03
2.380952e-02,5.668934e-04,6.856163e-03
2.380952e-02,5.668934e-04,5.709654e-03
2.380952e-02,5.668934e-04,5.678522e-03
2.380952e-02,5.668934e-04,6.739694e-03
2.380952e-02,5.668934e-04,6.237540e-03
2.380952e-02,5.668934e-04,6.388205e-03
2.380952e-02,5.668934e-04,6.247950e-03
2.380952e-02,5.668934e-04,5.891768e-03
2.380952e-02,5.668934e-04,5.389334e-03
2.380952e-02,5.668934e-04,6.557865e-03
2.380952e-02,5.668934e-04,5.814024e-03
2.380952e-02,5.668934e-04,7.224677e-03
2.380952e-02,5.668934e-04,5.072606e-03
2.380952e-02,5.668934e-04,6.156546e-03
2.380952e-02,5.668934e-04,6.533168e-03
2.380952e-02,5.668934e-04,6.253908e-03
2.380952e-02,5.668934e-04,4.825103e-03
2.380952e-02,5.668934e-04,5.730218e-03
2.380952e-02,5.668934e-04,5.601182e-03
2.380952e-02,5.668934e-04,6.520873e-03
2.380952e-02,5.668934e-04,6.786459e-03
2.380952e-02,5.668934e-04,6.991991e-03
2.380952e-02,5.668934e-04,5.381243e-03
2.380952e-02,5.668934e-04,5.298510e-03
2.380952e-02,5.668934e-04,5.615154e-03
2.380952e-02,5.668934e-04,6.400168e-03
2.380952e-02,5.668934e-04,5.463657e-03
2.380952e-02,5.668934e-04,5.236467e-03
2.380952e-02,5.668934e-04,6.159794e-03
2.380952e-02,5.668934e-04,5.382020e-03
2.380952e-02,5.668934e-04,6.991809e-03
2.380952e-02,5.668934e-04,5.937487e-03
2.380952e-02,5.668934e-04,5.990481e-03
2.380952e-02,5.668934e-04,5.860711e-03
2.380952e-02,5.668934e-04,6.705278e-03
2.380952e-02,5.668934e-04,7.285135e-03
2.380952e-02,5.668934e-04,5.990033e-03
2.380952e-02,5.668934e-04,6.309481e-03
2.380952e-02,5.668934e-04,6.522825e-03
2.380952e-02,5.668934e-04,5.894838e-03
2.380952e-02,5.668934e-04,5.902647e-03
2.380952e-02,5.668934e-04,6.379185e-03
2.380952e-02,5.668934e-04,7.621674e-03
2.380952e-02,5.668934e-04,6.376989e-03
2.380952e-02,5.668934e-04,6.237935e-03
2.380952e-02,5.668934e-04,6.176208e-03
2.380952e-02,5.668934e-04,5.837904e-03
2.380952e-02,5.668934e-04,8.047426e-03
2.380952e-02,5.668934e-04,5.686426e-03
2.380952e-02,5.668934e-04,5.601087e-03
2.380952e-02,5.668934e-04,6.609354e-03
2.380952e-02,5.668934e-04,6.720282e-03
2.380952e-02,5.668934e-04,6.144768e-03
2.380952e-02,5.668934e-04,6.208045e-03
2.380952e-02,5.668934e-04,5.744211e-03
2.380952e-02,5.668934e-04,5.425128e-03
2.380952e-02,5.668934e-04,5.691251e-03
2.380952e-02,5.668934e-04,7.486190e-03
2.380952e-02,5.668934e-04,5.573130e-03
2.380952e-02,5.668934e-04,5.904397e-03
2.380952e-02,5.668934e-04,5.795083e-03
2.380952e-02,5.668934e-04,6.691374e-03
2.380952e-02,5.668934e-04,6.686977e-03
2.380952e-02,5.668934e-04,6.072329e-03
2.380952e-02,5.668934e-04,5.496290e-03
2.380952e-02,5.668934e-04,6.779833e-03
2.500000e-02,6.250000e-04,6.350835e-03
2.500000e-02,6.250000e-04,7.050771e-03
2.500000e-02,6.250000e-04,7.392783e-03
2.500000e-02,6.250000e-04,6.184790e-03
2.500000e-02,6.250000e-04,6.357622e-03
2.500000e-02,6.250000e-04,7.631417e-03
2.500000e-02,6.250000e-04,7.015350e-03
2.500000e-02,6.250000e-04,6.876945e-03
2.500000e-02,6.250000e-04,7.612055e-03
2.500000e-02,6.250000e-04,5.781390e-03
2.500000e-02,6.250000e-04,7.017869e-03
2.500000e-02,6.250000e-04,6.472036e-03
2.500000e-02,6.250000e-04,5.819512e-03
2.500000e-02,6.250000e-04,7.907442e-03
2.500000e-02,6.250000e-04,7.118792e-03
2.500000e-02,6.250000e-04,6.768955e-03
2.500000e-02,6.250000e-04,5.984713e-03
2.500000e-02,6.250000e-04,7.056869e-03
2.500000e-02,6.250000e-04,7.906757e-03
2.500000e-02,6.250000e-04,6.589482e-03
2.500000e-02,6.250000e-04,7.535868e-03
2.500000e-02,6.250000e-04,7.550259e-03
2.500000e-02,6.250000e-04,6.584677e-03
2.500000e-02,6.250000e-04,6.508907e-03
2.500000e-02,6.250000e-04,6.467356e-03
2.500000e-02,6.250000e-04,7.152415e-03
2.500000e-02,6.250000e-04,7.208981e-03
2.500000e-02,6.250000e-04,6.218317e-03
2.500000e-02,6.250000e-04,6.343718e-03
2.500000e-02,6.250000e-04,6.184078e-03
2.500000e-02,6.250000e-04,6.260624e-03
2.500000e-02,6.250000e-04,6.890999e-03
2.500000e-02,6.250000e-04,7.291036e-03
2.500000e-02,6.250000e-04,6.298206e-03
2.500000e-02,6.250000e-04,6.411817e-03
2.500000e-02,6.250000e-04,6.307889e-03
2.500000e-02,6.250000e-04,6.154437e-03
2.500000e-02,6.250000e-04,6.254708e-03
2.500000e-02,6.250000e-04,8.004780e-03
