D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.816900e-01,1.328200e+00,5,50,5,1.000000e+00,5000,100000,1000

dtau,dtau2,m2
3.333333e-02,1.111111e-03,1.310316e+01
3.333333e-02,1.111111e-03,1.593475e+01
3.333333e-02,1.111111e-03,1.541467e+01
3.333333e-02,1.111111e-03,1.478986e+01
3.333333e-02,1.111111e-03,1.291038e+01
3.333333e-02,1.111111e-03,1.634559e+01
3.333333e-02,1.111111e-03,1.146918e+01
3.333333e-02,1.111111e-03,1.553684e+01
3.333333e-02,1.111111e-03,1.097013e+01
3.333333e-02,1.111111e-03,1.245517e+01
3.333333e-02,1.111111e-03,9.885569e+00
3.333333e-02,1.111111e-03,1.305692e+01
3.333333e-02,1.111111e-03,1.791425e+01
3.333333e-02,1.111111e-03,1.501932e+01
3.333333e-02,1.111111e-03,1.218072e+01
3.333333e-02,1.111111e-03,1.399476e+01
3.333333e-02,1.111111e-03,1.766990e+01
3.333333e-02,1.111111e-03,1.336850e+01
3.333333e-02,1.111111e-03,1.592354e+01
3.333333e-02,1.111111e-03,1.144677e+01
3.333333e-02,1.111111e-03,1.568396e+01
3.333333e-02,1.111111e-03,1.286445e+01
3.333333e-02,1.111111e-03,1.257685e+01
3.333333e-02,1.111111e-03,1.512631e+01
3.333333e-02,1.111111e-03,1.531909e+01
3.333333e-02,1.111111e-03,1.344751e+01
3.333333e-02,1.111111e-03,1.540674e+01
3.333333e-02,1.111111e-03,1.319646e+01
3.333333e-02,1.111111e-03,1.315441e+01
3.333333e-02,1.111111e-03,1.487861e+01
3.333333e-02,1.111111e-03,1.485422e+01
3.333333e-02,1.111111e-03,1.344392e+01
3.333333e-02,1.111111e-03,1.326332e+01
3.333333e-02,1.111111e-03,1.648913e+01
3.333333e-02,1.111111e-03,1.701460e+01
3.333333e-02,1.111111e-03,1.348885e+01
3.333333e-02,1.111111e-03,1.386215e+01
3.333333e-02,1.111111e-03,1.328560e+01
3.333333e-02,1.111111e-03,1.255927e+01
3.333333e-02,1.111111e-03,1.472544e+01
3.333333e-02,1.111111e-03,1.678272e+01
3.333333e-02,1.111111e-03,1.406742e+01
3.333333e-02,1.111111e-03,1.529582e+01
3.333333e-02,1.111111e-03,1.277895e+01
3.333333e-02,1.111111e-03,1.192093e+01
3.333333e-02,1.111111e-03,1.543043e+01
3.333333e-02,1.111111e-03,1.186523e+01
3.333333e-02,1.111111e-03,1.631691e+01
3.333333e-02,1.111111e-03,1.282319e+01
3.333333e-02,1.111111e-03,1.936407e+01
3.333333e-02,1.111111e-03,1.544169e+01
3.333333e-02,1.111111e-03,1.416398e+01
3.333333e-02,1.111111e-03,1.310172e+01
3.333333e-02,1.111111e-03,1.230686e+01
3.333333e-02,1.111111e-03,1.487339e+01
3.333333e-02,1.111111e-03,1.483633e+01
3.333333e-02,1.111111e-03,1.438668e+01
3.333333e-02,1.111111e-03,1.393726e+01
3.333333e-02,1.111111e-03,1.075895e+01
3.333333e-02,1.111111e-03,1.329238e+01
3.333333e-02,1.111111e-03,1.387324e+01
3.333333e-02,1.111111e-03,1.485651e+01
3.333333e-02,1.111111e-03,1.157381e+01
3.333333e-02,1.111111e-03,1.345256e+01
3.333333e-02,1.111111e-03,1.320592e+01
3.333333e-02,1.111111e-03,1.588107e+01
3.333333e-02,1.111111e-03,1.075639e+01
3.333333e-02,1.111111e-03,1.379448e+01
3.333333e-02,1.111111e-03,1.344863e+01
3.333333e-02,1.111111e-03,1.220060e+01
3.333333e-02,1.111111e-03,1.528984e+01
3.333333e-02,1.111111e-03,1.388691e+01
3.333333e-02,1.111111e-03,1.326044e+01
3.333333e-02,1.111111e-03,1.217724e+01
3.333333e-02,1.111111e-03,1.329405e+01
3.333333e-02,1.111111e-03,1.799836e+01
3.333333e-02,1.111111e-03,1.236462e+01
3.333333e-02,1.111111e-03,1.145633e+01
3.333333e-02,1.111111e-03,9.903059e+00
3.333333e-02,1.111111e-03,1.436580e+01
3.333333e-02,1.111111e-03,1.449161e+01
3.333333e-02,1.111111e-03,1.514133e+01
3.333333e-02,1.111111e-03,1.655737e+01
3.333333e-02,1.111111e-03,1.416684e+01
3.333333e-02,1.111111e-03,1.512157e+01
3.333333e-02,1.111111e-03,1.483558e+01
3.333333e-02,1.111111e-03,1.316161e+01
3.333333e-02,1.111111e-03,1.391276e+01
4.000000e-02,1.600000e-03,1.213053e+01
4.000000e-02,1.600000e-03,1.300853e+01
4.000000e-02,1.600000e-03,1.294736e+01
4.000000e-02,1.600000e-03,1.461017e+01
4.000000e-02,1.600000e-03,1.538402e+01
4.000000e-02,1.600000e-03,1.343869e+01
4.000000e-02,1.600000e-03,1.534858e+01
4.000000e-02,1.600000e-03,1.600051e+01
4.000000e-02,1.600000e-03,1.339460e+01
4.000000e-02,1.600000e-03,1.150892e+01
4.000000e-02,1.600000e-03,1.378071e+01
4.000000e-02,1.600000e-03,1.433273e+01
4.000000e-02,1.600000e-03,1.564938e+01
4.000000e-02,1.600000e-03,1.682570e+01
4.000000e-02,1.600000e-03,1.678274e+01
4.000000e-02,1.600000e-03,1.409045e+01
4.000000e-02,1.600000e-03,1.256826e+01
4.000000e-02,1.600000e-03,1.389667e+01
4.000000e-02,1.600000e-03,1.394161e+01
4.000000e-02,1.600000e-03,1.529388e+01
4.000000e-02,1.600000e-03,1.080570e+01
4.000000e-02,1.600000e-03,1.328777e+01
4.000000e-02,1.600000e-03,1.596375e+01
4.000000e-02,1.600000e-03,1.106431e+01
4.000000e-02,1.600000e-03,1.331268e+01
4.000000e-02,1.600000e-03,1.449117e+01
4.000000e-02,1.600000e-03,1.278797e+01
4.000000e-02,1.600000e-03,1.554440e+01
4.000000e-02,1.600000e-03,1.398893e+01
4.000000e-02,1.600000e-03,1.400997e+01
4.000000e-02,1.600000e-03,9.975650e+00
4.000000e-02,1.600000e-03,1.256311e+01
4.000000e-02,1.600000e-03,1.392946e+01
4.000000e-02,1.600000e-03,1.148260e+01
4.000000e-02,1.600000e-03,1.187364e+01
4.000000e-02,1.600000e-03,1.474898e+01
4.000000e-02,1.600000e-03,1.134977e+01
4.000000e-02,1.600000e-03,1.517640e+01
4.000000e-02,1.600000e-03,1.208302e+01
4.000000e-02,1.600000e-03,1.405211e+01
4.000000e-02,1.600000e-03,1.181212e+01
4.000000e-02,1.600000e-03,1.847977e+01
4.000000e-02,1.600000e-03,1.732755e+01
4.000000e-02,1.600000e-03,1.594892e+01
4.000000e-02,1.600000e-03,1.569875e+01
4.000000e-02,1.600000e-03,1.091646e+01
